City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
161,Barrow,71.2906,-156.7887,1.42,71,40,20.71,US,scattered clouds
162,Caravelas,-17.7125,-39.2481,76.55,82,0,5.41,BR,clear sky
163,Karratha,-20.7377,116.8463,81.43,67,100,6.78,AU,light rain
164,Geraldton,-28.7667,114.6,72.01,83,68,9.22,AU,broken clouds
165,Georgetown,5.4112,100.3354,80.53,92,20,3.44,MY,few clouds
166,Usinsk,65.9939,57.5281,22.21,96,100,8.08,RU,snow
167,Akdepe,42.0551,59.3788,39.29,51,56,7.31,TM,broken clouds
168,Maarianhamina,60.0973,19.9348,46.26,57,0,9.22,AX,clear sky
169,Zelenoborskiy,66.845,32.3622,-0.24,95,8,3.27,RU,clear sky
170,Trapani,37.8333,12.6667,55.89,82,0,3.44,IT,clear sky
171,Asyut,27.181,31.1837,55.58,27,0,9.4,EG,clear sky
172,Klaksvik,62.2266,-6.589,40.12,86,100,15.05,FO,overcast clouds
173,Vardo,70.3705,31.1107,26.49,54,100,6.51,NO,light snow
174,Grindavik,63.8424,-22.4338,40.95,87,100,12.66,IS,overcast clouds
175,Dunedin,-45.8742,170.5036,61.81,83,0,8.01,NZ,clear sky
176,Touros,-5.1989,-35.4608,80.24,82,38,10.87,BR,scattered clouds
177,Naryan-Mar,67.6713,53.087,6.93,95,100,15.99,RU,light snow
178,Trairi,-3.2778,-39.2689,77.11,91,94,6.76,BR,overcast clouds
179,Kruisfontein,-34.0033,24.7314,62.89,86,100,4.65,ZA,overcast clouds
180,Montlucon,46.3333,2.6,46.71,73,31,4.74,FR,scattered clouds
181,Cherskiy,68.75,161.3,2.03,94,99,8.63,RU,overcast clouds
182,Preobrazheniye,42.9019,133.9064,34.3,66,3,11.14,RU,clear sky
183,Ostrovnoy,68.0531,39.5131,18.46,80,100,3.38,RU,light snow
184,Katobu,-4.9408,122.5276,74.1,93,88,1.48,ID,light rain
185,Altay,47.8667,88.1167,31.32,98,100,2.46,CN,snow
186,Kjollefjord,70.9457,27.3465,19.45,81,87,0.85,NO,light snow
187,Butaritari,3.0707,172.7902,80.87,66,93,8.12,KI,overcast clouds
188,Kampong Thum,12.7111,104.8887,76.84,90,100,3.87,KH,overcast clouds
189,Padang,-0.9492,100.3543,68.05,63,40,4.79,ID,scattered clouds
190,Saskylakh,71.9167,114.0833,-7.37,100,100,3.58,RU,overcast clouds
191,Ancud,-41.8697,-73.8203,54.23,77,55,14.56,CL,broken clouds
192,Dawei,14.0833,98.2,75.88,93,55,3.06,MM,broken clouds
193,Lebu,-37.6167,-73.65,57.81,74,0,11.54,CL,clear sky
194,Whitehorse,60.7161,-135.0538,37.09,48,75,2.3,CA,broken clouds
195,Ballina,-28.8667,153.5667,69.01,99,98,4.92,AU,moderate rain
196,Urumqi,43.801,87.6005,36.55,81,0,6.71,CN,clear sky
197,Baykit,61.67,96.37,-3.73,100,74,4.07,RU,broken clouds
198,Nikolskoye,59.7035,30.7861,26.71,80,100,7.81,RU,overcast clouds
199,Komsomolskiy,40.4272,71.7189,45.32,61,5,6.91,UZ,clear sky
200,Yatou,37.15,122.3833,37.26,37,0,5.14,CN,clear sky
201,Yar-Sale,66.8333,70.8333,12.52,94,100,15.57,RU,overcast clouds
202,Bac Lieu,9.285,105.7244,81.32,74,76,3.27,VN,broken clouds
203,Blagoyevo,63.3667,47.9167,11.35,93,100,12.12,RU,light snow
204,Kardla,58.9978,22.7492,39.06,75,100,20.13,EE,overcast clouds
205,Husavik,66.0449,-17.3389,24.1,66,48,5.37,IS,scattered clouds
206,Presidencia Roque Saenz Pena,-26.7852,-60.4388,76.15,49,0,5.46,AR,clear sky
207,Kenai,60.5544,-151.2583,39.02,60,100,17.27,US,overcast clouds
208,Acapulco,16.8634,-99.8901,84.02,54,75,9.22,MX,smoke
209,Liverpool,53.4106,-2.9779,56.64,76,75,4.61,GB,broken clouds
210,Blackwater,-23.5833,148.8833,72.37,70,56,3.62,AU,broken clouds
211,Nouakchott,18.0858,-15.9785,64.33,81,77,14.14,MR,broken clouds
212,Poum,-20.2333,164.0167,81.03,74,32,17.13,NC,scattered clouds
213,Necochea,-38.5473,-58.7368,60.51,63,0,9.84,AR,clear sky
214,Baker City,44.7749,-117.8344,65.91,39,0,4.61,US,clear sky
215,Chapais,49.7834,-74.8492,6.58,91,100,11.77,CA,light snow
216,Matelandia,-25.2408,-53.9964,66.4,80,0,1.5,BR,clear sky
217,Saint George,37.1041,-113.5841,86.63,8,0,21.85,US,clear sky
218,Nipawin,53.3668,-104.0009,24.84,63,75,9.22,CA,broken clouds
219,Chuy,-33.6971,-53.4616,66.65,65,0,0.85,UY,clear sky
220,Upernavik,72.7868,-56.1549,17.62,77,96,3.06,GL,overcast clouds
221,Korgen,66.0771,13.8153,35.73,98,100,15.55,NO,light snow
222,Fort Frances,48.5999,-93.4003,21.16,34,0,10.36,CA,clear sky
223,Lata,40.1629,-8.3327,57.07,62,100,8.95,PT,overcast clouds
224,Sioux Lookout,50.1001,-91.917,14.07,34,0,13.8,CA,clear sky
225,Pangnirtung,66.1451,-65.7125,18.88,73,96,4.23,CA,overcast clouds
226,Gravdal,68.1214,13.5031,30.67,97,100,15.77,NO,snow
227,Amapa,1.0,-52.0,73.42,99,100,2.53,BR,moderate rain
228,Bengkulu,-3.8004,102.2655,74.1,90,79,5.88,ID,broken clouds
229,Nantucket,41.2835,-70.0995,46.51,60,0,20.71,US,clear sky
230,Praia,14.9215,-23.5087,70.34,73,20,12.66,CV,few clouds
231,Guaratinga,-16.5667,-39.5667,73.89,83,54,4.65,BR,broken clouds
232,Stephenville,32.2207,-98.2023,92.8,7,11,15.01,US,few clouds
233,Souillac,-20.5167,57.5167,77.38,88,40,2.3,MU,scattered clouds
234,Verkhnetulomskiy,68.6073,31.7962,-0.27,100,76,1.14,RU,broken clouds
235,Kidal,18.4411,1.4078,83.01,8,14,10.25,ML,few clouds
236,Lashio,22.9333,97.75,61.29,56,6,2.04,MM,clear sky
237,Bethel,41.3712,-73.414,40.55,62,100,12.66,US,overcast clouds
238,Namibe,-15.1961,12.1522,71.73,72,92,12.39,AO,overcast clouds
239,Ransang,8.9603,117.5828,78.06,84,100,1.12,PH,overcast clouds
240,Charleston,32.7766,-79.9309,71.78,21,0,18.41,US,clear sky
241,Oranjestad,12.524,-70.027,82.35,74,20,23.02,AW,few clouds
242,Ofunato,39.0717,141.7167,40.75,76,53,17.43,JP,broken clouds
243,Evensk,61.95,159.2333,12.02,77,95,21.14,RU,overcast clouds
244,Vaitape,-16.5167,-151.75,82.06,73,20,14.41,PF,light rain
245,Mitsamiouli,-11.3847,43.2844,82.27,76,100,6.89,KM,overcast clouds
246,Cayenne,4.9333,-52.3333,81.09,1,0,8.01,GF,clear sky
247,Adzope,6.1069,-3.8619,77.36,85,25,3.51,CI,scattered clouds
248,Goderich,43.7501,-81.7165,23.92,58,100,20.71,CA,overcast clouds
249,Roma,43.2128,-75.4557,25.38,76,100,21.85,US,overcast clouds
250,Asau,46.4333,26.4,33.28,54,15,2.33,RO,few clouds
251,Oistins,13.0667,-59.5333,78.89,69,75,14.97,BB,broken clouds
252,Naze,28.3667,129.4833,61.72,62,94,14.03,JP,overcast clouds
253,Gigmoto,13.7796,124.39,78.55,87,100,6.98,PH,overcast clouds
254,Kavieng,-2.5744,150.7967,82.98,74,78,7.85,PG,broken clouds
255,Cachoeira Do Sul,-30.0392,-52.8939,69.93,57,1,5.1,BR,clear sky
256,Manta,-0.95,-80.7333,82.18,78,75,5.75,EC,broken clouds
257,Yinchuan,38.4681,106.2731,44.1,33,48,1.95,CN,scattered clouds
258,Gamba,-2.65,10.0,78.57,90,72,5.32,GA,moderate rain
259,Ornskoldsvik,63.2909,18.7153,40.15,93,40,17.27,SE,scattered clouds
260,Aksu,41.1231,80.2644,49.75,45,88,3.6,CN,overcast clouds
261,Weligama,5.9667,80.4167,76.68,90,24,5.79,LK,few clouds
262,Gardez,33.5974,69.2259,49.69,33,0,4.0,AF,clear sky
263,Hasaki,35.7333,140.8333,52.29,77,88,13.71,JP,overcast clouds
264,Aklavik,68.2191,-135.0107,2.73,85,90,3.6,CA,overcast clouds
265,Truth Or Consequences,33.1284,-107.2528,86.23,6,0,19.57,US,clear sky
266,Bubaque,11.2833,-15.8333,75.99,69,98,21.59,GW,overcast clouds
267,Talnakh,69.4865,88.3972,3.74,97,100,5.39,RU,overcast clouds
268,San Nicolas,18.1725,120.5953,78.71,89,40,1.14,PH,scattered clouds
269,La Paz,-16.5,-68.15,51.78,76,75,0.0,BO,broken clouds
270,Sayat,38.7839,63.8803,46.27,47,0,8.41,TM,clear sky
271,Puri,19.8,85.85,81.12,92,48,15.77,IN,scattered clouds
272,Buchanan,5.8808,-10.0467,79.52,89,100,5.5,LR,overcast clouds
273,Kampong Cham,11.9934,105.4635,77.07,86,100,8.05,KH,overcast clouds
274,Chokurdakh,70.6333,147.9167,-10.79,99,87,5.23,RU,overcast clouds
275,Taga,46.95,24.05,37.72,47,7,2.75,RO,clear sky
276,Tuatapere,-46.1333,167.6833,62.19,70,4,2.62,NZ,clear sky
277,Juliaca,-15.5,-70.1333,52.36,64,95,9.78,PE,overcast clouds
278,Ubinskoye,55.3068,79.6802,2.59,98,82,5.77,RU,broken clouds
279,Balkanabat,39.5108,54.3671,49.84,59,23,6.06,TM,few clouds
280,Iquitos,-3.7481,-73.2472,75.24,94,75,3.44,PE,broken clouds
281,Rio Cuarto,-33.1307,-64.3499,74.97,33,40,10.36,AR,scattered clouds
282,Koungou,-12.7336,45.2042,76.71,88,0,2.3,YT,clear sky
283,Yerbogachen,61.2767,108.0108,16.43,95,100,7.99,RU,light snow
284,Show Low,34.2542,-110.0298,70.07,9,0,18.41,US,clear sky
285,Atherton,53.5237,-2.4935,56.25,74,95,3.0,GB,overcast clouds
286,Hualmay,-11.0964,-77.6139,73.58,75,97,10.65,PE,overcast clouds
287,High Rock,26.6208,-78.2833,73.42,48,0,18.41,BS,clear sky
288,Khatanga,71.9667,102.5,-23.31,100,91,3.22,RU,overcast clouds
289,Dublin,37.7021,-121.9358,68.68,56,0,13.8,US,clear sky
290,Nouadhibou,20.931,-17.0347,64.38,94,100,5.75,MR,overcast clouds
291,Horsham,51.064,-0.3272,46.81,91,75,8.05,GB,mist
292,Makasar,-5.14,119.4221,75.25,100,20,2.3,ID,few clouds
293,Chatra,24.2167,84.8667,68.56,13,5,5.55,IN,clear sky
294,Hoyanger,61.2204,6.0749,44.1,98,100,8.7,NO,overcast clouds
295,Saiha,22.4833,92.9667,66.29,94,100,3.09,IN,overcast clouds
296,Kutum,14.2,24.6667,63.46,10,0,16.35,SD,clear sky
297,Huambo,-12.7761,15.7392,61.14,96,99,3.51,AO,light rain
298,Ipira,-12.1583,-39.7372,79.29,65,41,17.05,BR,scattered clouds
299,Tezu,27.9167,96.1667,67.17,59,3,4.68,IN,clear sky
300,Half Moon Bay,37.4636,-122.4286,67.17,65,40,32.21,US,scattered clouds
301,Catia La Mar,10.6038,-67.0303,80.8,89,40,6.91,VE,scattered clouds
302,Villazon,-22.0866,-65.5942,62.51,26,1,13.51,BO,clear sky
303,Huntsville,34.7304,-86.5861,57.96,32,75,9.22,US,broken clouds
304,Asosa,10.0667,34.5333,70.29,23,12,3.18,ET,few clouds
305,Terrace,54.5163,-128.6035,55.31,43,40,11.5,CA,scattered clouds
306,Road Town,18.4167,-64.6167,78.89,73,40,5.75,VG,scattered clouds
307,Port Hardy,50.6996,-127.4199,48.38,93,100,10.36,CA,light rain
308,Korla,41.7597,86.1469,48.38,26,81,11.68,CN,broken clouds
309,Muros,42.7762,-9.0603,57.09,79,100,4.9,ES,overcast clouds
310,Verkhnyaya Inta,65.9811,60.3094,21.92,78,100,12.48,RU,overcast clouds
311,Laguna,38.421,-121.4238,74.95,55,0,11.5,US,clear sky
312,Bambous Virieux,-20.3428,57.7575,77.25,88,40,2.3,MU,scattered clouds
313,Elko,41.0002,-115.5012,71.62,13,100,11.99,US,overcast clouds
314,Svetlyy,54.675,20.1347,42.96,68,59,16.2,RU,broken clouds
315,Alice Springs,-23.7,133.8833,69.22,32,2,4.61,AU,clear sky
316,Tomatlan,19.9333,-105.25,88.5,24,27,10.67,MX,scattered clouds
317,Intipuca,13.1969,-88.0544,89.55,37,61,3.78,SV,broken clouds
318,Shirokiy,49.758,129.523,16.54,95,18,0.22,RU,few clouds
319,Tommot,58.9564,126.2925,12.9,89,100,2.89,RU,overcast clouds
320,Xique-Xique,-10.8218,-42.7263,84.09,54,99,6.08,BR,overcast clouds
321,Moura,38.1401,-7.4486,57.31,73,100,4.97,PT,overcast clouds
322,Samana,19.2056,-69.3369,80.56,76,81,5.53,DO,broken clouds
323,Sambava,-14.2667,50.1667,76.55,91,23,4.47,MG,light rain
324,Rawson,-43.3002,-65.1023,69.89,23,0,9.24,AR,clear sky
325,Porbandar,21.6422,69.6093,79.05,63,2,8.34,IN,clear sky
326,Los Llanos De Aridane,28.6585,-17.9182,60.55,89,40,11.5,ES,scattered clouds
327,Mackenzie,55.2999,-123.1698,43.02,49,0,8.05,CA,clear sky
328,Toora-Khem,52.4675,96.11,-1.52,100,100,2.39,RU,overcast clouds
329,Hampton,37.0299,-76.3452,54.01,36,75,20.71,US,broken clouds
330,Iqaluit,63.7506,-68.5145,19.13,92,100,0.0,CA,mist
331,Kendari,-3.945,122.4989,74.7,92,91,2.15,ID,overcast clouds
332,Bonthe,7.5264,-12.505,79.27,82,88,5.28,SL,overcast clouds
333,Sycow,51.3081,17.7198,42.26,46,16,7.27,PL,few clouds
334,Burns Lake,54.2331,-125.7533,44.02,71,100,3.24,CA,overcast clouds
335,Conakry,9.538,-13.6773,78.89,68,37,9.91,GN,scattered clouds
336,Haines Junction,60.7522,-137.5108,37.35,41,93,4.61,CA,overcast clouds
337,Torbay,47.6666,-52.7314,41.29,90,100,14.97,CA,overcast clouds
338,Fortuna,40.5982,-124.1573,65.93,72,0,9.22,US,clear sky
339,Gisborne,-38.6533,178.0042,61.77,92,100,21.79,NZ,overcast clouds
340,Sobolevo,54.4299,31.8996,22.66,70,98,6.93,RU,overcast clouds
341,Thunder Bay,48.4001,-89.3168,20.28,31,20,14.97,CA,few clouds
342,College,64.8569,-147.8028,36.0,64,20,5.75,US,few clouds
343,Matanzas,23.0411,-81.5775,75.96,50,0,16.11,CU,clear sky
344,Entre Rios,-11.9419,-38.0844,74.7,89,47,5.12,BR,scattered clouds
345,Magistralnyy,56.1725,107.4458,8.53,94,100,4.34,RU,overcast clouds
346,Agadir,30.4202,-9.5982,68.45,56,93,5.95,MA,overcast clouds
