City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Touros,BR,80.24,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
178,Trairi,BR,77.11,overcast clouds,-3.2778,-39.2689,janelas do mar
187,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
188,Kampong Thum,KH,76.84,overcast clouds,12.7111,104.8887,Sambor Village Hotel
192,Dawei,MM,75.88,broken clouds,14.0833,98.2,Hotel Dawei
202,Bac Lieu,VN,81.32,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
206,Presidencia Roque Saenz Pena,AR,76.15,clear sky,-26.7852,-60.4388,Hotel Gualok
208,Acapulco,MX,84.02,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
217,Saint George,US,86.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
233,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
239,Ransang,PH,78.06,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
241,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
244,Vaitape,PF,82.06,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
245,Mitsamiouli,KM,82.27,overcast clouds,-11.3847,43.2844,Foyer ADM
246,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
247,Adzope,CI,77.36,scattered clouds,6.1069,-3.8619,Hôtel AKL
251,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
253,Gigmoto,PH,78.55,overcast clouds,13.7796,124.39,Cj's Travellers Inn
254,Kavieng,PG,82.98,broken clouds,-2.5744,150.7967,Nusa Island Retreat
256,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
261,Weligama,LK,76.68,few clouds,5.9667,80.4167,Weligama Bay Resort
265,Truth Or Consequences,US,86.23,clear sky,33.1284,-107.2528,Charles Motel
266,Bubaque,GW,75.99,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
268,San Nicolas,PH,78.71,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
271,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
272,Buchanan,LR,79.52,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
273,Kampong Cham,KH,77.07,overcast clouds,11.9934,105.4635,7 Makara Hotel
280,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
282,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
292,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
298,Ipira,BR,79.29,scattered clouds,-12.1583,-39.7372,Hotel Phyccus
301,Catia La Mar,VE,80.8,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
306,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
312,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
316,Tomatlan,MX,88.5,scattered clouds,19.9333,-105.25,El Salvial
317,Intipuca,SV,89.55,broken clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
320,Xique-Xique,BR,84.09,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
322,Samana,DO,80.56,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
323,Sambava,MG,76.55,light rain,-14.2667,50.1667,Melrose
325,Porbandar,IN,79.05,clear sky,21.6422,69.6093,Lords Inn Porbandar
332,Bonthe,SL,79.27,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
335,Conakry,GN,78.89,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
343,Matanzas,CU,75.96,clear sky,23.0411,-81.5775,hostal sueños
351,Morgan City,US,78.03,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
353,Kieta,PG,81.97,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
358,Anaco,VE,86.88,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
359,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
362,Pocone,BR,78.01,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
366,Paramirim,BR,79.07,overcast clouds,-13.4425,-42.2389,Pousada Rio Pequeno
372,Sao Joao Da Barra,BR,78.08,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
373,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
377,Ko Samui,TH,84.07,scattered clouds,9.5357,99.9357,The Passage
380,Akyab,MM,78.13,scattered clouds,20.15,92.9,Hotel Memory
383,Coracao De Jesus,BR,77.83,broken clouds,-16.6853,-44.365,Hotel Neves
385,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
389,Grants,US,75.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
390,Upata,VE,80.55,overcast clouds,8.0086,-62.3989,Posada Villa Nela
394,Kapoeta,SS,82.33,light rain,4.7717,33.5903,Eastgate Hotel
